period,sales.kg,year,month,day,week,quincena,price,wd,wpd,Variants,TRPs,adstocks,trend1,trend2,y2002
1,685.537,2002,1,6,1,0,25.8381312887596,5529.55293653797,959.704747228446,85,0,6000,1,0.693147180559945,85
2,768.234,2002,1,13,2,0,26.031828329803,5558.86328864496,932.070168611427,87,472.11,5872.11,2,1.09861228866811,87
3,894.643,2002,1,20,3,1,25.6472582264914,5640.98878995821,1629.95039965189,87,505.64,5790.539,3,1.38629436111989,87
4,773.501,2002,1,27,4,0,25.5861351835871,5665.83209853721,1580.08749938477,87,1054.22,6265.7051,4,1.6094379124341,87
5,954.6,2002,2,3,5,1,25.4939553737922,5701.52933345971,1642.49420328715,87,548.09,6187.22459,5,1.79175946922805,87
6,852.853,2002,2,10,6,0,25.6604260556279,5658.47726722222,1243.62568982426,86,745.85,6314.352131,6,1.94591014905531,86
7,851.082,2002,2,17,7,1,25.7635259870814,5679.6235491327,1405.79942462188,88,440.9,6123.8169179,7,2.07944154167984,88
8,798.745,2002,2,24,8,0,25.597241344902,5702.04540202291,1418.25182138989,86,852.29,6363.72522611,8,2.19722457733622,86
9,972.928,2002,3,3,9,1,25.2356335120423,5727.76798141409,1516.20080230649,86,532.41,6259.762703499,9,2.30258509299405,86
10,824.287,2002,3,10,10,0,25.6217371576327,5737.23299045524,1211.43408509061,86,1089.67,6723.4564331491,10,2.39789527279837,86
11,887.167,2002,3,17,11,1,25.4558486248504,5790.44515205783,1352.84433861533,87,557.35,6608.46078983419,11,2.484906649788,87
12,811.241,2002,3,24,12,0,25.3686747079675,5832.43396129812,1445.71927001569,88,925.49,6873.10471085077,12,2.56494935746154,88
13,887.554,2002,3,31,13,1,25.5103968181981,5857.74222862999,1217.03695139557,89,416.26,6602.0542397657,13,2.63905732961526,89
14,976.519,2002,4,7,14,0,25.4288491308257,5842.1099198249,1338.89741706776,89,980.99,6922.83881578913,14,2.70805020110221,89
15,913.323,2002,4,14,15,0,25.2429598292937,5846.98018402296,1086.79554179909,90,757.66,6988.21493421021,15,2.77258872223978,90
16,915.869,2002,4,21,16,1,25.1303989733382,5891.21757169254,1224.64249173536,90,1004.84,7294.23344078919,16,2.83321334405622,90
17,831.612,2002,4,28,17,0,25.1727908000706,5873.92717876679,1486.93281014967,91,1102.47,7667.28009671027,17,2.89037175789616,91
18,1040.421,2002,5,5,18,1,25.0683021422072,5866.67360704875,1411.10417025394,92,988.02,7888.57208703925,18,2.94443897916644,92
19,797.394,2002,5,12,19,0,25.1740961976971,5892.52670003588,1038.05530543498,92,585.66,7685.37487833532,19,2.99573227355399,92
20,1062.304,2002,5,19,20,1,24.9036765081655,6027.61676258259,1028.05019590045,92,1087.78,8004.61739050179,20,3.04452243772342,92
21,969.495,2002,5,26,21,0,23.8210344784591,5983.22909430581,1210.92092677648,92,889.51,8093.66565145161,21,3.09104245335832,92
22,1258.596,2002,6,2,22,1,23.7101330651895,6122.34133582425,1544.33104689915,92,1108.71,8393.00908630645,22,3.13549421592915,92
23,969.413,2002,6,9,23,0,24.6131207020835,6141.4736013748,1274.33430696079,92,706.35,8260.0581776758,23,3.17805383034795,92
24,933.145,2002,6,16,24,1,25.0422820253661,6116.655866823,909.351526214676,92,929.95,8364.00235990823,24,3.2188758248682,92
25,925.393,2002,6,23,25,0,24.8879997292293,6117.42511749547,960.711026886135,90,931.17,8458.7721239174,25,3.25809653802148,90
26,982.814,2002,6,30,26,1,25.2800578412638,6148.96940335934,811.681333639001,92,989.83,8602.72491152566,26,3.29583686600433,92
27,1010.309,2002,7,7,27,0,25.1391246970784,6196.88921156172,908.80420117833,91,915.91,8658.3624203731,27,3.3322045101752,91
28,977.329,2002,7,14,28,0,25.1955353925127,6176.67920675787,892.162625080263,93,901.55,8694.07617833579,28,3.36729582998647,93
29,987.988,2002,7,21,29,1,25.024149585028,6181.57683251682,1059.87760809074,92,1281.43,9106.09856050221,29,3.40119738166216,92
