language,article,date,views
en,influenza,2007-12-10,4153
en,influenza,2007-12-11,4606
en,influenza,2007-12-12,4396
en,influenza,2007-12-13,3863
en,influenza,2007-12-14,3365
en,influenza,2007-12-15,2148
en,influenza,2007-12-16,2540
en,influenza,2007-12-17,3806
en,influenza,2007-12-18,3680
en,influenza,2007-12-19,3654
en,influenza,2007-12-20,3141
en,influenza,2007-12-21,2500
en,influenza,2007-12-22,1789
en,influenza,2007-12-23,1581
en,influenza,2007-12-24,1610
en,influenza,2007-12-25,1272
en,influenza,2007-12-26,1858
en,influenza,2007-12-27,2229
en,influenza,2007-12-28,2190
en,influenza,2007-12-29,1969
en,influenza,2007-12-30,1850
en,influenza,2007-12-31,1965
en,influenza,2008-01-01,1781
en,influenza,2008-01-02,2728
en,influenza,2008-01-03,3265
en,influenza,2008-01-04,3148
en,influenza,2008-01-05,2574
en,influenza,2008-01-06,2604
en,influenza,2008-01-07,3597
en,influenza,2008-01-08,3827
en,influenza,2008-01-09,3923
en,influenza,2008-01-10,3797
en,influenza,2008-01-11,3384
en,influenza,2008-01-12,2206
en,influenza,2008-01-13,2606
en,influenza,2008-01-14,3571
en,influenza,2008-01-15,3730
en,influenza,2008-01-16,3919
en,influenza,2008-01-17,3699
en,influenza,2008-01-18,3148
en,influenza,2008-01-19,2069
en,influenza,2008-01-20,2443
en,influenza,2008-01-21,3295
en,influenza,2008-01-22,3818
en,influenza,2008-01-23,4002
en,influenza,2008-01-24,3816
en,influenza,2008-01-25,3565
en,influenza,2008-01-26,2549
en,influenza,2008-01-28,4368
en,influenza,2008-01-29,4806
en,influenza,2008-01-30,4936
en,influenza,2008-01-31,5010
en,influenza,2008-02-01,4290
en,influenza,2008-02-02,3030
en,influenza,2008-02-03,3459
en,influenza,2008-02-04,5219
en,influenza,2008-02-05,5619
en,influenza,2008-02-06,6006
en,influenza,2008-02-07,6073
en,influenza,2008-02-08,5191
en,influenza,2008-02-09,3451
en,influenza,2008-02-10,3703
en,influenza,2008-02-11,5516
en,influenza,2008-02-12,5601
en,influenza,2008-02-13,5442
en,influenza,2008-02-14,5209
en,influenza,2008-02-15,4754
